,Unnamed: 0,Unnamed: 0.1,Name,target,src
66,66,66.0,66," We have security guards at shopping centres, different shops, the subway as well as at different industrial locations.
"," Do you have any questions about the position?
Yes, what different places can I expect to work at?
"
121,121,,15,Did you work closely together with this person for a long time? what was the most valuably lesson they taught you?,"
What's your best experience from your previous jobs?
In my last job i had a very experienced senior who taught me a lot about programming."
215,215,,112,Do you have any management skills?,"
What makes you fit well as a manager?
I believe that i have a good overview of things and i think that i can get the best out of employees."
171,171,,66,What did you do about the situation?,"
You have applied for the job as manager for the administration. what makes you a good fit?
I have motivation for and skills for administration.
I see. can you give an example of a situation where it was difficult to do so?
When i hired the wrong person for the reception.
Why was it the wrong person?
The person did not take responsibility over their job."
119,119,,13,"I understand, because that's how i feel about working here!","
What's your best experience from your previous jobs?
I used to work at a small firm where we had a very tight team. it felt like a group of friends who happened to work together."
30,30,30.0,30," Some of our perks include a twenty percent discount on our items and monthly gift cards when you hit a required sale mark. 
"," Is there anything you want to ask about this job?
What perks do you offer for your workers?
"
105,105,105.0,33," What brand manufacturer of trucks had you driven before?
"," What is your best experience from your previous jobs?
Their trucks are always in good condition and undergo regular maintenance.
"
180,180,,75,Do you  have any references that can prove your personality?,"
What makes you interested in working in a nursery school?
I like children an i am very patient
Do you have any experience from working with children
No but i always had to take care of my brothers and sisters"
20,20,20.0,20," Do you have experience repairing trucks?
"," You have applied for the job as car mechanic. What do you think is interesting about this work?
It's interesting to work for a company that does repair big vehicles like you.
"
214,214,,111,How many were you in your team?,"
If you are going to work as a firefighter, it is good if you have experience from working with others. can you tell me a little if you have such experience?
I have worked as a firefighter before and we used to work in a team. "
133,133,,27,And if that does not work?,"
What makes you fit well as a nurse?
I am friendly with people, and am very good at calming sick people.
How do you handle someone who isn't calm?
I carefully explain what is going on and explain the medical procedure."
71,71,71.0,71," Currently there are 3 other bartenders working at the bar.
"," Do you have any questions about the position?
Yes, how many colleagues will I have?
"
205,205,,102,Which work task did you enjoy the most?,"
What is your best experience from your previous jobs?
I really liked my work tasks, they gave me meaning. "
107,107,,1,Yes we really do. what are you eager to learn specifically?,"
What do you think seems fun about this job?
I am eager to learn more about marketing and you have some very talented people here."
0,0,0.0,0," What baking skills do you already have?
"," You have applied for the job as baker. What do you think is interesting about this work?
I think it is interesting to learn new baking skills.
"
130,130,,24,What about it makes it fun? are you also good at working with others?,"
What makes you fit well as a construction worker?
I've always been good at working physically. i think it's fun."
178,178,,73,When can you start?,"
We would like to know what you think about working in a rehabilitation company
I am a positive person and believe in people's own possibilites and respect for integrity
Tell me about your education?
I have an education in sociologi
What do you know about us?
I know you as a company with a positive attitude to employees"
111,111,,5,Is variety in your job important to you?,"
What do you think seems fun about this job?
The job description said it included a lot of variety. i think that sounds good"
46,46,46.0,46," You can do both. First about you as a person and them about your work experience.
"," Tell me a bit about yourself.
Of course. Personally or about myself as a working person?
"
156,156,,50,"Okay, and for how long have you been working as a carpenter?","
You have applied for the job as carpenter. what makes you a good fit?
I am good at working with many different tools."
31,31,31.0,31," What is your work ethic?
"," What is your best experience from your previous jobs?
My best experience is when one of our regular customers appreciated my work ethic and gave me a holiday gift.
"
139,139,,33,I like my colleagues. anything else you're wondering?,"
Is there anything you want to ask about this job?
How do you like your collegues?"
60,60,60.0,60," Do you prefer working in a team than working alone?
"," This position requires you to work in a team of carpenters, have you got any experience with working in a team before?
Yes, I have worked with teams of carpenters before. 
"
230,230,,127,"Yes i can imagine, it is a rather unknown neighbourhood. anyhow, would you like a cup of coffee before we start?","
Welcome to this interview!
Thank you very much.
How was your trip? was it hard to find your way here?
I had some troubles yes, but i managed to find my way just in time."
200,200,,96,Is there anything related to being a chasier that you are not so good at?,"
What makes you fit well as a chasier?
I am friendly, i like to help people and i am quick at making simple calculations. "
92,92,92.0,20," The minimum shift is six hours a day while on busy days can go up to eight hours a day.
"," Is there anything you want to ask about this job?
How long are the shifts?
"
84,84,84.0,12," Yes. You will sign-up for at least one year of the work contract agreement.
"," Is there anything you want to ask about this job?
Am I going to work on a contract basis?
"
138,138,,32,I see. can you give an example of a situation where it was difficult to do so?,"
You have applied for the job as receptionist. what makes you a good fit?
I like to talk to people and i'm always nice and pragmatic."
211,211,,108,Do you think that you are a good leader?,"
You have applied for the job as lead developer. what do you think seems fun about this job?
I love to program and i love even more to tell other people what to do. "
199,199,,95,Are you a good driver?,"
What makes you fit well as a taxi driver?
I love to drive, and i like to talk to people. i am also very good at remebering street names. "
100,100,100.0,28," We have ten vacant jobs open. If you like, you can refer a friend.
"," Is there anything you want to ask about this job?
How many vacant jobs do you have right now?
"
203,203,,99,"We pay 25.000 sek each month. if you work overtime, you will get compensated for that as well. ","
Is there anything you want to ask about this job?
I wonder what the pay is?"
233,233,,130,"I see, and what interests you the most about this job?","
What makes you want to change career paths at this time?
Well, sometimes you come to a certain point in life where you feel that you are ready for new challenges, and a new day to day life."
182,182,,77,How would you describe yourself?,"
I see you have applied for a job as car mechanic
Yes i always loved to cars.
Have you any experience since before?
My father is a mechanical working in his own garage, and i have often helped him
Are you updated with the latest technology for cars?
Quite well"
